x,y,p_BACK,p_NORM,p_DEB,p_TUM,p_ADI,p_MUC,p_MUS,p_STR,p_LYM,p_Cancer,p_Normal,p_Others,group_argmax,kather_topclass,in_roi,p_gland_virchow2,p_gland_uni2,p_gland_phikon-v2,p_gland_ensemble,pred_class_ensemble,gt_label,pred_label,cancer_mask,gt_class,pred_class,correct
62464,9216,1.8427901e-10,4.6091474e-05,1.1245131e-06,0.9999502,4.3827323e-15,1.5381431e-08,4.3518847e-12,3.194505e-11,2.6012951e-06,0.9999502,4.8692775e-05,1.1400789e-06,Cancer,TUM,True,0.48486793,0.51427835,0.6791787,0.5594416,gland,0,1,True,gland,non-gland,False
62976,9216,9.99884e-10,0.16180222,1.3746342e-06,0.8381962,8.1378064e-11,4.0338023e-08,6.724213e-08,6.7521015e-08,1.8685755e-08,0.8381963,0.1618023,1.4159721e-06,Cancer,TUM,True,0.70639306,0.58640444,0.64735246,0.64671665,gland,0,0,True,gland,gland,True
63488,9216,1.7402357e-12,9.920134e-07,3.9888888e-09,0.99999905,3.9741287e-15,1.4135338e-12,1.6037018e-10,8.648686e-10,2.1685237e-08,0.99999905,1.013859e-06,3.9920427e-09,Cancer,TUM,True,0.7953404,0.92788786,0.7356416,0.8196233,gland,0,0,True,gland,gland,True
64000,9216,1.2563605e-11,3.1551863e-06,1.0779962e-05,0.9999856,2.0749636e-14,6.5179506e-08,8.537765e-12,6.488085e-11,3.020007e-07,0.9999856,3.4571956e-06,1.0845155e-05,Cancer,TUM,True,0.8785229,0.7538293,0.94815457,0.86016893,gland,0,0,True,gland,gland,True
64512,9216,1.6630466e-16,4.7396744e-09,2.7207018e-13,1.0,1.0707688999999998e-18,3.806135e-12,1.2226665e-12,5.928082e-16,1.7782444e-22,1.0,4.740897e-09,4.0783718e-12,Cancer,TUM,True,0.99611557,0.9930962,0.9869795,0.99206376,gland,0,0,True,gland,gland,True
65024,9216,4.5581337e-11,0.97619313,2.5756812e-08,0.023725258,1.6014377e-12,2.4558672e-08,8.8957074e-07,8.069527e-05,2.3234703e-08,0.023805954,0.976194,5.0361066e-08,Normal,NORM,True,0.9881309,0.9241418,0.87191176,0.9280615,gland,0,0,False,gland,gland,False
65536,9216,9.7905747e-14,2.031083e-06,1.935257e-11,0.999998,9.3679974e-14,1.4935815e-10,6.9464687e-09,1.0628653e-11,3.757976e-16,0.999998,2.0380296e-06,1.6880863e-10,Cancer,TUM,True,0.9933072,0.9695556,0.9700135,0.97762537,gland,0,0,True,gland,gland,True
66048,9216,6.2128316e-11,0.11358223,1.2754932e-10,0.88641775,1.0380971e-13,7.3487816e-10,8.516862e-12,5.1686398e-14,1.1667575e-15,0.88641775,0.11358223,9.2455577e-10,Cancer,TUM,True,0.9942697,0.9881309,0.97887486,0.98709184,gland,0,0,True,gland,gland,True
66560,9216,1.0980039000000001e-16,3.386743e-13,1.5779819e-14,1.0,4.0518557e-20,5.671103e-12,6.7059556e-15,2.5849594e-17,1.0969492e-23,1.0,3.4538027e-13,5.6869925e-12,Cancer,TUM,True,0.9987551,0.9991441,0.99580115,0.99790007,gland,0,0,True,gland,gland,True
67072,9216,2.0408239e-10,7.5221815e-06,2.201714e-05,0.9999702,7.082018e-14,1.8947172e-07,4.4159189e-13,1.5438897e-13,2.5991435e-11,0.9999702,7.522208e-06,2.2206816e-05,Cancer,TUM,True,0.96909106,0.93721074,0.9539661,0.9534226,gland,0,0,True,gland,gland,True
68608,9216,1.4343703e-10,6.179275e-08,5.7384337e-08,0.9999999,1.1611364e-14,7.969195e-09,2.5384542e-10,6.6536776e-12,2.45278e-12,0.9999999,6.204906e-08,6.549697e-08,Cancer,TUM,True,0.9069832,0.91181,0.9522199,0.923671,gland,0,0,True,gland,gland,True
69120,9216,6.5880456e-17,4.624673e-09,2.1193495e-13,1.0,1.9505233e-24,2.998813e-16,3.4892610000000003e-17,6.1267477e-15,2.8322082e-13,1.0,4.6249564e-09,2.123007e-13,Cancer,TUM,True,0.9991441,0.997981,0.99509466,0.99740666,gland,0,0,True,gland,gland,True
69632,9216,1.2000615e-14,7.101633e-07,1.6849831e-13,0.9999993,2.492651e-18,3.3550563e-13,3.635506e-14,5.6649124e-13,2.6304973e-13,0.9999993,7.1016365e-07,5.1600456e-13,Cancer,TUM,True,0.9976769,0.99657035,0.9950177,0.99642164,gland,0,0,True,gland,gland,True
70144,9216,1.6653969e-12,0.99417734,5.773668e-12,0.005822603,5.9792064e-13,9.384114e-11,9.506025e-10,1.4581993e-10,5.5734592e-12,0.005822603,0.99417734,1.01280206e-10,Normal,NORM,True,0.9980732,0.9953904,0.9888419,0.9941018,gland,0,0,False,gland,gland,False
70656,9216,1.3578876e-13,0.26555035,1.8714311e-11,0.7344497,1.1756726e-15,6.581042e-12,8.4589413e-10,7.1579814e-10,2.2737834e-12,0.7344497,0.26555035,2.5431143e-11,Cancer,TUM,True,0.9957353,0.99193794,0.9850429,0.99090546,gland,0,0,True,gland,gland,True
71168,9216,1.1041332e-14,6.317408e-12,1.4312536e-12,1.0,2.0176157e-21,7.061791e-11,5.894547e-17,5.4190186e-15,4.5542560000000004e-18,1.0,6.3174717e-12,7.2060205e-11,Cancer,TUM,True,0.99837697,0.9985221,0.99732697,0.9980753,gland,0,0,True,gland,gland,True
71680,9216,6.6781285e-15,1.9076536e-07,4.6841284e-11,0.99999976,6.9643024e-19,3.1843823e-11,1.3053718e-13,1.1958675e-13,9.24718e-16,0.99999976,1.9076549e-07,7.869179e-11,Cancer,TUM,True,0.9839708,0.99486035,0.9740426,0.98429126,gland,0,0,True,gland,gland,True
72192,9216,3.2168688e-13,3.5414662e-09,2.2996745e-11,1.0,1.6946077e-21,6.675902e-11,2.9249192e-19,2.074303e-16,1.4021323e-14,1.0,3.5414802e-09,9.007745e-11,Cancer,TUM,True,0.99973875,0.9998029,0.997981,0.9991742,gland,0,0,True,gland,gland,True
72704,9216,1.5613937e-10,0.0686239,3.8492307e-09,0.9313725,5.14329e-13,3.5749524e-06,2.1820932e-09,1.0739922e-08,3.2768718e-13,0.9313725,0.0686239,3.5789578e-06,Cancer,TUM,True,0.9985221,0.99824536,0.99903023,0.99859923,gland,0,0,True,gland,gland,True
73216,9216,1.5176801e-09,0.0044864384,7.7733935e-09,0.9955114,9.742081e-13,2.1195526e-06,2.6321239e-08,4.3015147e-09,5.579751e-14,0.9955114,0.004486465,2.1288438e-06,Cancer,TUM,True,0.9999125,0.9998416,0.9994023,0.99971884,gland,0,0,True,gland,gland,True
73728,9216,1.8513713e-11,9.439041e-10,1.5529999e-07,0.99999976,9.64534e-16,1.6805886e-07,9.91348e-15,1.1833365e-16,9.100608e-19,0.99999976,9.43915e-10,3.2337738e-07,Cancer,TUM,True,0.9993333,0.9998945,0.9990452,0.9994243,gland,0,0,True,gland,gland,True
74240,9216,5.410888e-10,8.683733e-07,1.8914533e-07,0.9999989,1.6454328e-12,1.7479666e-08,5.358325e-10,6.3511e-11,6.3896723e-09,0.9999989,8.7530043e-07,2.0716608e-07,Cancer,TUM,True,0.999089,0.9942697,0.9966234,0.9966607,gland,0,0,True,gland,gland,True
74752,9216,8.124007e-12,2.1793303e-09,1.563294e-10,1.0,8.214902e-14,5.6959797e-09,2.5714456e-10,1.4653786e-09,2.3739347e-13,1.0,2.4367943e-09,5.860433e-09,Cancer,TUM,True,0.9962346,0.9954615,0.99469805,0.99546474,gland,0,0,True,gland,gland,True
75264,9216,2.5218225e-09,7.161602e-07,2.4947601e-08,0.9999987,2.631107e-10,5.39696e-07,1.3380755e-10,1.330142e-09,9.100149e-11,0.9999987,7.166481e-07,5.671654e-07,Cancer,TUM,True,0.9997731,0.9951703,0.9933072,0.9960835,gland,0,0,True,gland,gland,True
60928,8704,1.9845689e-07,0.0007337551,0.000995967,0.9982016,3.4202338e-10,6.617407e-05,1.2174431e-08,1.7293283e-09,2.3047644e-06,0.9982016,0.0007360724,0.0010623395,Cancer,TUM,True,0.82161736,0.47922948,0.79310596,0.6979842,gland,0,0,True,gland,gland,True
61440,8704,2.151812e-06,2.3467162e-05,0.28143916,0.70568097,2.3244211e-10,0.0024209816,1.0662632e-11,8.161711e-11,0.010433237,0.70568097,0.010456705,0.2838623,Cancer,TUM,True,0.09704756,0.28061637,0.4380639,0.27190927,non-gland,0,1,True,gland,non-gland,False
61952,8704,5.1166978e-08,0.0003660134,0.00016389627,0.99943775,4.3310924e-09,1.4502358e-06,1.6506928e-06,3.262565e-07,2.8863242e-05,0.99943805,0.00039653166,0.00016539767,Cancer,TUM,True,0.54988235,0.8558512,0.8940517,0.76659507,gland,0,0,True,gland,gland,True
62464,8704,2.817991e-11,4.544075e-08,7.348004e-11,1.0,6.4624304e-14,1.9327905e-10,3.6019339e-12,3.0763364e-11,1.0691966e-12,1.0,4.5445486e-08,2.94939e-10,Cancer,TUM,True,0.27048025,0.3548801,0.6753365,0.43356562,non-gland,0,1,True,gland,non-gland,False
62976,8704,6.440227e-18,6.4764326e-06,1.91022e-14,0.99999356,1.0540275400000001e-20,3.809593e-14,1.5764676e-14,6.472914e-17,5.72609e-18,0.99999356,6.4764326e-06,5.720457e-14,Cancer,TUM,True,0.81047887,0.6083614,0.92683524,0.7818918,gland,0,0,True,gland,gland,True
63488,8704,4.034674e-09,0.0007322087,7.619757e-08,0.9992662,5.566066e-11,1.856623e-08,4.5057913e-08,1.5403047e-06,4.3626752e-08,0.99926776,0.0007322975,9.879848e-08,Cancer,TUM,True,0.9492946,0.93991333,0.84594244,0.91171676,gland,0,0,True,gland,gland,True
64000,8704,8.217771e-09,0.03049135,0.0028851444,0.9653325,4.3051265e-10,1.5546627e-06,5.3846634e-08,2.3417454e-07,0.0012891614,0.96533275,0.031780567,0.0028867072,Cancer,TUM,True,0.655336,0.570092,0.7409249,0.655451,gland,0,0,True,gland,gland,True
64512,8704,1.6980747e-10,5.724085e-05,1.0281537e-07,0.9999248,2.4564742e-14,2.143635e-09,2.5506864e-11,1.3131649e-09,1.7821292e-05,0.9999248,7.506217e-05,1.0512881e-07,Cancer,TUM,True,0.966156,0.8568123,0.9683812,0.9304498,gland,0,0,True,gland,gland,True
65024,8704,2.662376e-10,0.7268579,3.7343673e-07,0.27228594,1.7800833e-09,1.0174759e-08,0.0007413362,0.000111679794,2.7748722e-06,0.2723976,0.72760206,3.838777e-07,Normal,NORM,True,0.9802808,0.9656413,0.9666631,0.97086173,gland,0,0,False,gland,gland,False
65536,8704,1.6200712e-08,0.15612912,0.0042332564,0.08710373,7.1444743e-09,1.6053942e-06,0.02562236,0.72334373,0.0035661943,0.81044745,0.18531768,0.0042348783,Cancer,STR,True,0.9603612,0.7905303,0.8674854,0.87279224,gland,0,0,True,gland,gland,True
66048,8704,1.8431024e-15,1.4542475e-08,3.6890426e-14,1.0,3.3501487e-20,1.0290917e-12,1.433156e-14,3.928552e-15,1.7700464e-17,1.0,1.4542489e-08,1.0678253e-12,Cancer,TUM,True,0.9884919,0.99740905,0.9825575,0.98948616,gland,0,0,True,gland,gland,True
66560,8704,2.6615855e-11,4.9601518e-08,1.913271e-09,1.0,7.450508e-14,2.9897884e-09,9.961272e-10,5.423484e-08,1.4728427e-10,1.0,5.0745005e-08,4.9296753e-09,Cancer,TUM,True,0.9856076,0.9546474,0.9755769,0.97194403,gland,0,0,True,gland,gland,True
67072,8704,1.6942864e-19,6.5325123e-10,1.6027809e-16,1.0,1.3795862999999999e-25,3.8478982e-14,2.502397e-20,9.339469e-22,3.153562e-23,1.0,6.5325123e-10,3.863943e-14,Cancer,TUM,True,0.99818975,0.99477994,0.9802808,0.99108356,gland,0,0,True,gland,gland,True
68608,8704,1.3711491e-11,6.551104e-10,2.819003e-10,1.0,8.6228214e-13,5.303205e-09,3.5838783e-11,5.0568477e-14,1.5399814e-15,1.0,6.91813e-10,5.598817e-09,Cancer,TUM,True,0.9967269,0.987375,0.9953181,0.99314,gland,0,0,True,gland,gland,True
69120,8704,1.2880531e-07,0.003631734,0.0036894586,0.99259347,5.8668288e-08,2.150414e-05,8.472197e-06,9.9184426e-08,5.5031385e-05,0.9925936,0.0036952964,0.0037110916,Cancer,TUM,True,0.9933589,0.9678993,0.9825575,0.9812719,gland,0,0,True,gland,gland,True
69632,8704,1.8727257000000001e-16,2.5057705e-07,1.19908745e-14,0.99999976,1.3936941e-24,2.3165734e-12,2.9561312000000003e-22,1.5846104000000002e-22,6.302571000000001e-22,0.99999976,2.5057705e-07,2.3287516e-12,Cancer,TUM,True,0.97887486,0.9738444,0.9801293,0.97761613,gland,0,0,True,gland,gland,True
70144,8704,6.807825e-09,0.00012672637,2.5501533e-05,0.9963121,2.5347795e-08,9.753159e-06,0.0032603075,0.00025572025,9.892843e-06,0.9965678,0.0033969518,3.5261502e-05,Cancer,TUM,True,0.25963786,0.2516477,0.23651622,0.24926727,non-gland,1,1,True,non-gland,non-gland,True
70656,8704,6.0771727e-10,0.44010314,3.889656e-07,0.5598964,8.86304e-13,5.9946776e-09,5.901601e-10,2.0975177e-09,1.7796182e-08,0.5598964,0.44010317,3.9556798e-07,Cancer,TUM,True,0.97754294,0.88563144,0.9079672,0.92371386,gland,1,0,True,non-gland,gland,False
71168,8704,3.017418e-14,2.0762529e-05,2.286309e-08,0.99997747,1.859035e-13,3.591794e-09,1.7836912e-06,2.931035e-08,1.3725508e-13,0.99997747,2.254622e-05,2.6454913e-08,Cancer,TUM,True,0.9969722,0.9933072,0.99611557,0.995465,gland,0,0,True,gland,gland,True
71680,8704,4.290689e-23,5.888938e-10,1.0920695e-21,1.0,2.41508e-31,7.31677e-16,6.6999386e-25,1.1016195999999999e-25,8.814837e-32,1.0,5.888938e-10,7.316781e-16,Cancer,TUM,True,0.9981614,0.9997305,0.99701905,0.99830365,gland,0,0,True,gland,gland,True
72192,8704,2.0593902e-14,0.0007748079,7.395336e-12,0.99922514,2.4096290000000002e-17,2.178271e-11,1.3750267e-11,1.274226e-12,9.595895e-17,0.99922514,0.0007748079,2.919864e-11,Cancer,TUM,True,0.99701905,0.99788433,0.9986541,0.9978525,gland,0,0,True,gland,gland,True
72704,8704,3.265313e-10,0.4610185,0.0026311942,0.01875687,1.2848051e-06,2.4142028e-06,0.075678304,0.43826038,0.0036509114,0.45701724,0.540349,0.0026336086,Normal,NORM,True,0.9930962,0.97788346,0.9728308,0.98127013,gland,1,0,False,non-gland,gland,False
73216,8704,6.852094e-12,1.7443823e-07,3.6823235e-13,0.9999999,1.0283701e-11,1.0906772e-09,4.3436965e-10,3.5045816e-13,2.901157e-14,0.9999999,1.7488291e-07,1.0978976e-09,Cancer,TUM,True,0.997851,0.99736834,0.98215127,0.9924569,gland,0,0,True,gland,gland,True
73728,8704,1.5263834e-15,3.4782832e-10,5.2736542e-15,1.0,1.8229118e-19,1.10246705e-13,1.0739869e-13,3.758758e-16,2.7444955000000003e-16,1.0,3.4793599e-10,1.1704674e-13,Cancer,TUM,True,0.99605453,0.9993436,0.99128854,0.99556226,gland,0,0,True,gland,gland,True
74240,8704,2.5961924e-11,6.497747e-08,4.1167837e-07,0.9999995,1.4438834e-14,5.0345883e-09,3.1618885e-09,1.6006772e-10,1.3973587e-13,0.9999995,6.8139514e-08,4.167389e-07,Cancer,TUM,True,0.999884,0.99931216,0.99788433,0.99902683,gland,0,0,True,gland,gland,True
74752,8704,3.9926694e-13,0.0021087865,2.4684296e-11,0.99789125,1.2793865e-18,3.3855967e-12,9.3758145e-14,6.1337636e-12,4.512945e-13,0.99789125,0.0021087865,2.8469161e-11,Cancer,TUM,True,0.9996898,0.99929035,0.99611557,0.9983652,gland,0,0,True,gland,gland,True
75264,8704,1.8262428e-08,2.996545e-06,2.528194e-05,0.9999546,2.9418095e-09,1.6756558e-05,3.1792928e-07,2.7944669e-08,3.1226904e-08,0.9999546,3.3486428e-06,4.205676e-05,Cancer,TUM,True,0.9998029,0.99837697,0.9926542,0.9969447,gland,0,0,True,gland,gland,True
50176,10240,2.2727675e-13,7.472208e-11,7.212285e-12,1.0,1.2107653e-17,9.866979e-12,1.601473e-16,6.120505e-13,5.5287247e-15,1.0,7.4727786e-11,1.7306542e-11,Cancer,TUM,True,0.9623913,0.97462875,0.98866826,0.97522944,gland,0,0,True,gland,gland,True
50688,10240,2.5930497e-11,0.007023382,1.32317e-08,0.9929766,3.2898912e-15,3.5604605e-10,1.6446094e-11,4.856181e-09,1.6989823e-10,0.9929766,0.007023382,1.3613676e-08,Cancer,TUM,True,0.99066,0.9959927,0.9969722,0.99454165,gland,0,0,True,gland,gland,True
51200,10240,3.1317155e-18,2.675413e-12,8.95147e-16,1.0,1.26924974e-23,4.4226208e-15,7.8661855e-21,8.093319999999999e-20,9.695101e-17,1.0,2.67551e-12,5.320899e-15,Cancer,TUM,True,0.91700584,0.9896718,0.94165415,0.949444,gland,0,0,True,gland,gland,True
51712,10240,1.5560447e-07,0.0069292886,9.9735125e-06,0.9927959,1.0646532e-08,1.8885393e-06,1.721089e-05,0.0002266111,1.9053934e-05,0.9930225,0.006965564,1.2017656e-05,Cancer,TUM,True,0.96182173,0.9840936,0.97821885,0.9747114,gland,0,0,True,gland,gland,True
52224,10240,1.5921820999999999e-18,2.8115958e-08,8.032739e-17,1.0,6.075395e-26,5.141968e-15,2.7777203e-20,3.3088613999999997e-18,7.324363000000001e-17,1.0,2.8115958e-08,5.2238877e-15,Cancer,TUM,True,0.90295243,0.98087597,0.95362175,0.9458167,gland,0,0,True,gland,gland,True
52736,10240,2.4217458e-13,3.7566308e-05,4.092824e-12,0.99996245,2.5306157e-17,1.5295962e-11,1.6804864e-12,2.5526454e-12,1.5903135e-14,0.99996245,3.7566308e-05,1.9630962e-11,Cancer,TUM,True,0.37845907,0.677474,0.7725307,0.60948795,gland,0,1,True,gland,non-gland,False
53248,10240,2.445714e-10,2.7833468e-05,9.2271205e-07,0.99997115,3.5604037e-12,8.73357e-09,7.536628e-08,2.562369e-09,1.6072281e-09,0.99997115,2.7910446e-05,9.3169024e-07,Cancer,TUM,True,0.9425068,0.8484707,0.93045825,0.90714526,gland,0,0,True,gland,gland,True
53760,10240,9.971892e-13,4.371745e-06,1.7355941e-07,0.9999951,4.141415e-17,2.555052e-12,1.602752e-12,2.6636738e-12,3.114446e-07,0.9999951,4.6831915e-06,1.7356297e-07,Cancer,TUM,True,0.86293024,0.65599746,0.80193585,0.77362114,gland,0,0,True,gland,gland,True
54272,10240,8.114955e-09,0.004304922,0.00026326935,0.9954266,1.4602775e-09,1.4697341e-06,1.5473513e-06,1.3351647e-07,2.1259652e-06,0.9954267,0.0043085967,0.0002647472,Cancer,TUM,True,0.8887587,0.844409,0.77321637,0.8354613,gland,0,0,True,gland,gland,True
54784,10240,4.5479114e-09,0.40505648,0.0070005823,0.58453745,7.3369866e-09,1.8214624e-07,1.5189272e-06,4.744152e-06,0.0033990024,0.5845422,0.408457,0.007000769,Cancer,TUM,True,0.7343101,0.938124,0.7937462,0.8220601,gland,0,0,True,gland,gland,True
55296,10240,2.436225e-05,0.0032048782,0.04131752,0.94350713,1.0114439e-06,8.581824e-06,2.7228927e-07,2.8035134e-07,0.0119360825,0.94350743,0.015142244,0.041350465,Cancer,TUM,True,0.2739627,0.12378869,0.56673807,0.3214965,non-gland,0,1,True,gland,non-gland,False
60928,10240,2.9412438e-06,0.005553167,0.17765488,0.80986106,1.3878733e-07,0.00016700325,4.683909e-08,3.5198838e-07,0.0067603914,0.8098614,0.012313744,0.17782481,Cancer,TUM,True,0.13251457,0.25238404,0.58545667,0.32345176,non-gland,0,1,True,gland,non-gland,False
61440,10240,9.030597e-09,0.0034247728,0.0031688623,0.9625242,8.302299e-10,1.5257864e-07,9.810664e-07,1.9650793e-06,0.030879108,0.96252614,0.034304865,0.003169024,Cancer,TUM,True,0.06705628,0.06705628,0.25982565,0.13131274,non-gland,0,1,True,gland,non-gland,False
61952,10240,2.806449e-11,1.0387409e-05,6.684143e-07,0.9999889,2.981138e-14,3.5089348e-11,5.4394524e-11,3.7293774e-10,5.3604507e-09,0.9999889,1.0392824e-05,6.6847747e-07,Cancer,TUM,True,0.6073139,0.8327813,0.78199726,0.74069744,gland,0,0,True,gland,gland,True
62464,10240,2.6226647e-07,0.0048663425,0.10600689,0.84114707,1.5601376e-09,3.9656235e-05,1.1444436e-07,3.863719e-06,0.047935914,0.84115094,0.052802373,0.10604681,Cancer,TUM,True,0.29767406,0.63906056,0.7348813,0.55720526,gland,0,1,True,gland,non-gland,False
62976,10240,1.7255662e-08,0.0017923632,0.0011909679,0.9965559,1.0940202e-08,2.6231494e-06,4.6487077e-07,6.266495e-07,0.00045696477,0.9965566,0.0022498039,0.0011936083,Cancer,TUM,True,0.9588471,0.8344069,0.90665317,0.8999691,gland,0,0,True,gland,gland,True
63488,10240,3.0904678e-12,0.00022856922,3.5863719e-09,0.9997714,4.8798652e-15,1.9851276e-10,9.9881055e-09,5.825002e-08,2.384411e-11,0.9997715,0.00022857923,3.7879753e-09,Cancer,TUM,True,0.7162186,0.4746312,0.6173973,0.60274905,gland,0,0,True,gland,gland,True
64000,10240,1.18051766e-07,0.061560202,4.9571494e-08,0.9382877,8.322555e-09,1.6476223e-06,2.021469e-05,0.00012988302,2.2294529e-07,0.93841755,0.061580647,1.8152456e-06,Cancer,TUM,True,0.9105454,0.9130583,0.92944044,0.9176814,gland,0,0,True,gland,gland,True
64512,10240,5.3880406e-08,0.14752202,1.5082742e-07,0.8455067,5.3093352e-08,7.223722e-07,2.8685496e-05,0.00693739,4.150191e-06,0.8524441,0.14755492,9.2708e-07,Cancer,TUM,True,0.9213576,0.580352,0.8044059,0.7687052,gland,0,0,True,gland,gland,True
65024,10240,2.1129728e-11,4.454238e-05,3.7900447e-11,0.9999554,1.5612419e-15,7.82261e-10,1.7410627e-12,2.0041354e-11,8.5723854e-14,0.9999554,4.454238e-05,8.4129115e-10,Cancer,TUM,True,0.99304235,0.97821885,0.94699025,0.9727505,gland,0,0,True,gland,gland,True
65536,10240,8.8784035e-20,1.8723505e-09,1.7304166000000002e-16,1.0,4.0471353e-17,2.9604774e-14,1.7871538e-10,1.1161445e-19,7.364817e-25,1.0,2.051066e-09,2.9777904e-14,Cancer,TUM,True,0.99990237,0.99937373,0.9914225,0.99689955,gland,0,0,True,gland,gland,True
66048,10240,4.4749416e-15,3.7530606e-06,9.058332e-13,0.9999963,1.9246161999999997e-18,2.479746e-10,3.36773e-12,7.507369e-14,4.7213216e-17,0.9999963,3.753064e-06,2.488849e-10,Cancer,TUM,True,0.9890131,0.9785493,0.9309621,0.96617484,gland,0,0,True,gland,gland,True
66560,10240,4.33895e-11,1.906073e-06,3.7963312e-09,0.9999981,2.6172272e-13,8.438577e-09,9.2173985e-10,2.0034203e-09,5.7339616e-11,0.9999981,1.9070523e-06,1.22782975e-08,Cancer,TUM,True,0.99913067,0.96095175,0.83761996,0.9325674,gland,0,0,True,gland,gland,True
67072,10240,3.6589076e-23,3.8639477e-13,2.9468306e-23,1.0,5.7504083e-31,2.3899204e-18,3.4155884e-26,2.4962684000000002e-26,3.7732985000000004e-30,1.0,3.8639477e-13,2.3899863999999996e-18,Cancer,TUM,True,0.98959166,0.99629277,0.9956006,0.9938283,gland,0,0,True,gland,gland,True
67584,10240,5.830525e-23,5.7474e-10,2.2172122e-20,1.0,3.5594606e-27,4.882165e-18,7.2188214e-16,5.480687e-20,4.4835644e-25,1.0,5.747407e-10,4.9043955999999994e-18,Cancer,TUM,True,0.9764905,0.97838473,0.9314625,0.9621126,gland,0,0,True,gland,gland,True
68096,10240,1.5942156e-14,3.4946302e-06,3.692823e-11,0.99999654,9.593832000000001e-22,4.0188044e-14,4.935938e-15,4.4891898e-13,9.989339e-10,0.99999654,3.495629e-06,3.698436e-11,Cancer,TUM,True,0.99963737,0.9969246,0.99361163,0.99672455,gland,0,0,True,gland,gland,True
68608,10240,1.7434015e-14,5.362195e-10,4.6663814e-12,1.0,1.2136993000000001e-21,1.6960683e-11,1.5144968999999998e-18,6.0846076e-17,1.2893286e-19,1.0,5.362195e-10,2.1644499e-11,Cancer,TUM,True,0.9686196,0.9875683,0.9804314,0.9788731,gland,0,0,True,gland,gland,True
69120,10240,5.4393486e-11,0.0026174998,1.7212109e-08,0.9973793,1.890975e-12,3.6042272e-10,3.6568946e-07,2.9091661e-06,3.8381035e-08,0.9973822,0.002617904,1.7626926e-08,Cancer,TUM,True,0.98228765,0.97344345,0.96909106,0.9749408,gland,0,0,True,gland,gland,True
