file,p_Adenocarcinoma_high_grade,p_Adenocarcinoma_low_grade,p_Adenoma_high_grade,p_Adenoma_low_grade,p_Fat,p_Hyperplastic_polyp,p_Inflammation,p_Mucus,p_Muscle,p_Necrosis,p_Sessile_serrated_lesion,p_Stroma_healthy,p_Vessels
slide_0000__patch_0137377.png,0.9991924,0.0005354387,6.42794e-05,1.1402578e-05,2.1714903e-05,5.6935705e-06,2.6607204e-05,7.995996e-06,5.330652e-05,2.5833508e-05,3.3666151e-06,3.3635104e-05,1.8340797e-05
slide_0000__patch_0178606.png,0.9993375,0.00038925762,2.3082885e-05,8.251441e-06,3.970774e-05,1.5627927e-05,4.714394e-05,8.62092e-06,4.1187814e-05,2.1512145e-05,3.9364872e-06,4.165902e-05,2.230942e-05
slide_0000__patch_0182849.png,0.99937904,0.00034722325,4.383691e-05,1.2628546e-05,2.906462e-05,7.3694887e-06,2.536459e-05,7.763315e-06,6.9411115e-05,1.8151213e-05,8.075073e-06,2.8399247e-05,2.3558267e-05
slide_0000__patch_0195634.png,0.9995018,0.00023168916,2.1199674e-05,8.727346e-06,3.2735054e-05,1.02251115e-05,3.937989e-05,8.232979e-06,6.4009175e-05,1.8791312e-05,6.4428846e-06,3.2216514e-05,2.4491437e-05
slide_0000__patch_0198388.png,0.9993137,0.0002576346,1.2387812e-05,1.080345e-05,6.1012113e-05,1.598868e-05,0.0001211938,1.2226128e-05,6.500816e-05,4.5197154e-05,2.8545653e-06,6.270547e-05,1.9293242e-05
slide_0000__patch_0216274.png,0.99835676,0.0013119092,2.3713275e-05,6.62988e-06,4.5777022e-05,2.5023171e-05,7.6460135e-05,1.7075015e-05,3.3383436e-05,4.9825303e-05,4.671951e-06,3.392739e-05,1.4854792e-05
slide_0000__patch_0243670.png,0.99920565,0.00042984393,1.1058619e-05,7.732274e-06,6.5592016e-05,1.7151611e-05,4.646037e-05,9.7393295e-06,4.4245193e-05,8.0787584e-05,1.1748051e-05,2.6925742e-05,4.3014945e-05
slide_0000__patch_0247124.png,0.98432565,0.014171693,0.0011020853,2.1437845e-05,8.117175e-05,1.5350157e-05,4.388507e-05,1.9219215e-05,4.8145394e-05,9.564324e-05,1.3835109e-05,3.4384706e-05,2.7550584e-05
slide_0000__patch_0258662.png,0.9987564,0.00091458246,8.4436746e-05,1.904172e-05,2.3579494e-05,9.081243e-06,3.807587e-05,7.932609e-06,5.1930998e-05,2.0675427e-05,5.5099545e-06,4.9102848e-05,1.9614943e-05
slide_0000__patch_0263901.png,0.9978237,0.0018178184,0.00013179501,1.7964361e-05,2.200221e-05,1.2243074e-05,3.275982e-05,1.0867346e-05,3.8589722e-05,4.695282e-05,6.066243e-06,1.75696e-05,2.1721939e-05
slide_0000__patch_0267966.png,0.99689424,0.002727645,4.2099673e-05,4.852475e-06,5.6771856e-05,1.7141221e-05,4.8758066e-05,8.993052e-06,4.9926035e-05,7.472732e-05,1.9154299e-05,3.4689478e-05,2.0905942e-05
slide_0000__patch_0270940.png,0.96112204,0.036816984,0.001563954,3.174157e-05,0.0001042916,1.6881662e-05,4.5731966e-05,1.6752509e-05,6.669247e-05,7.6853175e-05,1.2160575e-05,8.310974e-05,4.2873e-05
slide_0000__patch_0278678.png,0.9984816,0.0003812619,8.862533e-06,2.257021e-05,4.746282e-05,4.6656707e-05,0.0007571034,3.531193e-05,9.701242e-05,5.691015e-05,5.5629407e-06,3.726014e-05,2.2428638e-05
slide_0000__patch_0286605.png,0.9993622,0.00035057482,1.3913398e-05,7.725377e-06,4.705936e-05,9.276625e-06,3.6184658e-05,1.0059037e-05,6.248887e-05,5.2279374e-05,6.1035703e-06,2.0000683e-05,2.201026e-05
slide_0000__patch_0305198.png,0.99767596,0.0019177392,0.00018871702,2.1309268e-05,2.5347483e-05,9.9727295e-06,2.6357713e-05,8.705946e-06,3.909642e-05,2.8020311e-05,6.5475588e-06,2.4417315e-05,2.778524e-05
slide_0000__patch_0307159.png,0.99614054,0.0034422968,0.00011259377,7.748843e-06,5.0525043e-05,1.1823623e-05,6.08196e-05,1.1141385e-05,3.586331e-05,8.2784565e-05,4.8067154e-06,2.0885831e-05,1.8053097e-05
slide_0000__patch_0308833.png,0.99841917,0.00127958,6.0991228e-05,1.0979924e-05,2.5612244e-05,9.209904e-06,3.774739e-05,9.197793e-06,3.590523e-05,6.27893e-05,3.2893217e-06,2.825031e-05,1.7251421e-05
slide_0000__patch_0309983.png,0.9978224,0.0017174475,2.3924977e-05,4.3939613e-06,6.542917e-05,1.5431016e-05,6.637788e-05,9.128566e-06,3.8000882e-05,0.00015831165,1.191298e-05,4.1317242e-05,2.6077678e-05
slide_0000__patch_0317969.png,0.99945015,0.0001978728,1.3529942e-05,2.673429e-05,2.0663838e-05,2.5902571e-05,5.4724827e-05,1.8800327e-05,9.668819e-05,2.9022038e-05,4.7619606e-06,3.6403108e-05,2.46488e-05
slide_0000__patch_0353806.png,0.9958424,0.003787264,7.636909e-05,1.7399338e-05,3.482983e-05,2.3798251e-05,4.421447e-05,1.1495819e-05,4.2917036e-05,3.2795768e-05,6.28438e-06,4.135786e-05,3.882067e-05
slide_0000__patch_0362286.png,0.9995572,0.00013954555,1.6433556e-05,9.903498e-06,3.374253e-05,9.156863e-06,5.7606314e-05,1.2061658e-05,7.323377e-05,3.3083303e-05,3.1283964e-06,3.7443806e-05,1.739113e-05
slide_0000__patch_0374788.png,0.99783933,0.0018248025,5.455213e-05,1.3062067e-05,3.698176e-05,1.5913014e-05,5.2352363e-05,1.0997895e-05,4.0244937e-05,6.0885042e-05,7.2112334e-06,2.8206507e-05,1.5514874e-05
slide_0000__patch_0382590.png,0.99956983,0.00015461426,2.0920514e-05,9.151986e-06,3.1895834e-05,8.192583e-06,4.705504e-05,1.231007e-05,6.008143e-05,3.2617612e-05,2.79275e-06,2.840667e-05,2.2097265e-05
slide_0000__patch_0404518.png,0.9984571,0.0012517456,3.7480007e-05,6.730871e-06,5.6433968e-05,1.12134285e-05,4.0685634e-05,7.5092157e-06,3.9593157e-05,2.3657627e-05,7.447582e-06,4.0136194e-05,2.031586e-05
slide_0000__patch_0408960.png,0.9995709,9.30619e-05,1.0488641e-05,9.672178e-06,4.6594832e-05,1.0179454e-05,7.086044e-05,1.366536e-05,7.88338e-05,4.213846e-05,5.6214944e-06,2.6664387e-05,2.1233272e-05
slide_0000__patch_0415864.png,0.99798703,0.0013234646,3.2215885e-05,1.1371241e-05,6.78423e-05,3.590763e-05,0.0003820512,1.6624963e-05,3.2043135e-05,4.48889e-05,5.5520886e-06,3.5199613e-05,2.5766198e-05
slide_0000__patch_0418185.png,0.99841547,0.00124926,2.5771164e-05,4.9472374e-06,4.3250377e-05,1.3850874e-05,4.8114143e-05,6.782105e-06,6.5050204e-05,4.1679927e-05,1.00271645e-05,5.3143092e-05,2.2564456e-05
slide_0000__patch_0436488.png,0.99828595,0.0011864608,5.1060877e-05,1.1346954e-05,2.3337081e-05,1.632787e-05,0.00012337416,1.4879772e-05,4.1680792e-05,0.00020438069,4.8361567e-06,2.2837863e-05,1.3594922e-05
slide_0000__patch_0444524.png,0.99814963,0.0015156512,9.244104e-05,1.4850097e-05,3.364531e-05,1.2385932e-05,3.36286e-05,8.644581e-06,5.6524135e-05,1.8006425e-05,4.975317e-06,3.7984573e-05,2.1707803e-05
slide_0000__patch_0450984.png,0.99912804,0.0003878093,1.2753005e-05,6.1040378e-06,5.1239327e-05,1.2172902e-05,5.5689874e-05,6.099156e-06,9.1071626e-05,4.5232435e-05,7.840027e-06,0.00013389766,6.20194e-05
slide_0000__patch_0453509.png,0.9985335,0.0010952159,0.00014229317,1.690617e-05,4.693284e-05,8.350576e-06,3.3695986e-05,7.844087e-06,3.056102e-05,1.877078e-05,8.225418e-06,2.4288069e-05,3.3276876e-05
slide_0000__patch_0461789.png,0.99941087,0.000312146,2.7219692e-05,2.1490368e-05,2.1787282e-05,1.1361408e-05,3.6360598e-05,1.0347314e-05,6.8206944e-05,1.6824415e-05,4.3141804e-06,3.538874e-05,2.373313e-05
slide_0000__patch_0470325.png,0.9966497,0.0029104948,8.8520595e-05,8.148248e-06,3.529033e-05,1.7272147e-05,0.00011855072,1.2726613e-05,2.696342e-05,9.1713264e-05,8.762151e-06,1.8311823e-05,1.3561809e-05
slide_0000__patch_0475530.png,0.99754435,0.0020375408,5.20547e-05,6.1001774e-06,5.920216e-05,1.2190708e-05,7.088877e-05,9.402926e-06,4.2273943e-05,0.00011571517,7.140024e-06,2.7390433e-05,1.5720272e-05
slide_0000__patch_0482862.png,0.9986243,0.0010487413,4.649928e-05,5.869458e-06,6.1466504e-05,1.1895263e-05,6.652398e-05,6.4538062e-06,3.9394617e-05,3.1258267e-05,1.12602975e-05,2.693421e-05,1.9329013e-05
slide_0000__patch_0483998.png,0.9993286,0.00040411096,2.6833073e-05,6.277356e-06,4.5606215e-05,9.2560595e-06,3.39066e-05,7.758608e-06,5.571487e-05,2.9653645e-05,4.8825573e-06,2.7061486e-05,2.0314907e-05
slide_0000__patch_0492615.png,0.9989366,0.00080461823,4.8344125e-05,9.570645e-06,4.024365e-05,1.365838e-05,3.0343854e-05,9.440398e-06,3.6622518e-05,2.637859e-05,5.1627385e-06,1.9322912e-05,1.966445e-05
slide_0000__patch_0507136.png,0.9995239,0.00014500135,1.6765447e-05,1.7370161e-05,2.9538287e-05,1.4334683e-05,3.5320652e-05,1.0395955e-05,9.414997e-05,1.94665e-05,6.553321e-06,5.6056386e-05,3.1253177e-05
slide_0000__patch_0510028.png,0.9995828,0.00013688904,1.676407e-05,1.1386622e-05,3.474706e-05,7.676637e-06,3.626448e-05,9.443128e-06,8.407422e-05,2.6163054e-05,5.9863587e-06,2.5859406e-05,2.1846256e-05
slide_0000__patch_0513759.png,0.9988802,0.00082154595,1.7482982e-05,5.5753717e-06,4.0172203e-05,1.8341203e-05,4.713617e-05,9.500965e-06,5.1223877e-05,4.6344227e-05,9.944285e-06,3.161897e-05,2.092894e-05
slide_0000__patch_0533202.png,0.99950576,0.00016043821,1.7707589e-05,2.0667749e-05,3.120844e-05,1.3742476e-05,9.441719e-05,1.0863441e-05,4.3438602e-05,1.8952194e-05,3.513073e-06,5.2566473e-05,2.6545864e-05
slide_0000__patch_0549009.png,0.99886525,0.00085416285,3.0872772e-05,1.016041e-05,3.362983e-05,1.4145763e-05,3.8784852e-05,8.630728e-06,6.168707e-05,2.334276e-05,5.1589004e-06,3.3618096e-05,2.0635522e-05
slide_0000__patch_0551555.png,0.9986533,0.0006428507,1.6058422e-05,1.930106e-05,3.5639096e-05,3.4669953e-05,0.00042215388,2.0532043e-05,7.5994976e-05,2.5476233e-05,5.6415433e-06,2.6432068e-05,2.1953596e-05
slide_0000__patch_0553500.png,0.9994148,0.00033181094,3.0164387e-05,8.603928e-06,3.0361449e-05,1.036628e-05,3.4790188e-05,1.2740834e-05,5.0013237e-05,2.756173e-05,3.1388038e-06,2.8121287e-05,1.7387658e-05
slide_0000__patch_0556356.png,0.9989907,0.0007387992,2.4766707e-05,5.6651265e-06,4.8165653e-05,1.1990236e-05,4.015642e-05,7.4942727e-06,4.427231e-05,3.90278e-05,8.223757e-06,2.2905177e-05,1.780461e-05
slide_0000__patch_0581979.png,0.9434104,0.05492404,0.0010167141,5.2401436e-05,0.000121911035,4.7702135e-05,8.095569e-05,2.0349164e-05,4.9596787e-05,5.8770445e-05,9.281956e-06,0.00013264589,7.5262295e-05
slide_0000__patch_0629183.png,0.99939966,0.00036427265,3.4766214e-05,1.11141435e-05,2.481944e-05,1.11899635e-05,2.9482808e-05,1.0902128e-05,4.2812633e-05,2.6914127e-05,3.432081e-06,2.2265427e-05,1.8408024e-05
slide_0000__patch_0631315.png,0.9994549,0.00024107602,1.40519915e-05,1.1258083e-05,4.1238443e-05,2.580481e-05,4.841333e-05,1.0000578e-05,4.691495e-05,2.6115214e-05,5.5689584e-06,4.093524e-05,3.366599e-05
slide_0000__patch_0650364.png,0.999331,0.00037348698,4.3144664e-05,2.1797843e-05,2.5622681e-05,9.509495e-06,4.4028362e-05,8.64061e-06,4.4963974e-05,1.9318746e-05,2.5992679e-06,4.950147e-05,2.641801e-05
slide_0000__patch_0679242.png,0.98546946,0.0009809859,2.0631793e-05,3.2890275e-05,0.00020524181,9.050216e-05,0.012735324,6.765227e-05,0.00011834206,0.000107166,7.115986e-06,0.00011800982,4.6805126e-05
slide_0000__patch_0690451.png,0.9989176,0.00074675924,5.57081e-05,1.0696261e-05,2.5189838e-05,9.621866e-06,4.082585e-05,1.3222461e-05,6.0138445e-05,8.039182e-05,1.3697213e-05,1.4707135e-05,1.1539349e-05
slide_0000__patch_0696736.png,0.9991836,0.0005464247,6.78765e-05,2.0091657e-05,1.84576e-05,1.0091578e-05,3.179327e-05,1.2475799e-05,4.085277e-05,2.6560321e-05,3.908475e-06,2.0194158e-05,1.7600241e-05
slide_0000__patch_0705417.png,0.9991835,0.00045833137,2.0084048e-05,4.5768525e-06,3.999553e-05,1.308126e-05,7.007054e-05,8.331289e-06,5.721844e-05,4.111401e-05,9.90309e-06,6.187597e-05,3.197001e-05
slide_0000__patch_0717710.png,0.9927698,0.004643109,0.00013261144,1.263503e-05,0.00015534974,2.513382e-05,0.0019605178,2.8200027e-05,4.1608666e-05,0.00017101156,4.2748015e-06,4.079556e-05,1.4899832e-05
slide_0000__patch_0727461.png,0.999432,0.0003034167,1.9415711e-05,8.88628e-06,2.6554386e-05,7.1785958e-06,2.5011761e-05,9.457212e-06,6.414959e-05,4.7293954e-05,9.512624e-06,2.633892e-05,2.070789e-05
slide_0000__patch_0759091.png,0.997747,0.0018782812,0.00012900346,1.1518717e-05,5.3851054e-05,8.76919e-06,3.6862846e-05,6.6297935e-06,2.765456e-05,3.0234422e-05,6.0085877e-06,3.6284422e-05,2.7837401e-05
slide_0000__patch_0761188.png,0.99899167,0.0007286074,2.7775674e-05,9.399565e-06,3.50775e-05,1.5520589e-05,6.4857566e-05,1.2643083e-05,3.671105e-05,3.1906067e-05,3.754482e-06,2.6023845e-05,1.607787e-05
slide_0000__patch_0781718.png,0.9969919,0.001215533,3.1777643e-05,2.1622782e-05,7.2318304e-05,4.193881e-05,0.00041644098,5.914805e-05,6.739611e-05,0.0010408201,9.083312e-06,1.952757e-05,1.2372616e-05
slide_0000__patch_0801739.png,0.94831985,0.049412012,0.00048366105,2.0025629e-05,0.0003286136,9.082311e-05,0.00090873876,2.2826103e-05,3.1203745e-05,5.2950636e-05,2.2483513e-05,0.00019813994,0.000108643195
slide_0000__patch_0802333.png,0.9864727,0.012811727,9.055464e-05,6.2717017e-06,9.3054434e-05,2.3585852e-05,6.661752e-05,1.5958043e-05,7.595483e-05,0.00016998519,3.8428287e-05,9.32216e-05,4.1957483e-05
slide_0000__patch_0803021.png,0.9657101,0.031169962,0.0026332096,5.4503278e-05,8.087776e-05,2.928433e-05,6.3697575e-05,1.6401757e-05,5.2274314e-05,5.653705e-05,1.636276e-05,8.1272556e-05,3.553875e-05
slide_0000__patch_0814174.png,0.99947196,0.00021794192,1.1292513e-05,8.163035e-06,4.4695822e-05,1.3451332e-05,5.042203e-05,8.566715e-06,5.7618487e-05,3.8892405e-05,6.8788436e-06,4.5287074e-05,2.4814299e-05
slide_0000__patch_0831871.png,0.99942183,0.00029519823,3.141223e-05,2.7572807e-05,1.770813e-05,1.1757577e-05,3.8457383e-05,1.1638975e-05,5.987036e-05,1.9072768e-05,3.5053451e-06,3.5662677e-05,2.622611e-05
slide_0000__patch_0835616.png,0.999315,0.000401932,2.5739313e-05,6.94206e-06,3.9850773e-05,8.873071e-06,4.0386523e-05,6.837582e-06,4.9913524e-05,6.2074796e-05,6.224709e-06,2.0059584e-05,1.6134756e-05
slide_0000__patch_0844262.png,0.99862206,0.0010549556,4.9923976e-05,1.4981649e-05,3.3373013e-05,1.1590378e-05,2.7493708e-05,8.897691e-06,8.128314e-05,3.6407684e-05,4.564032e-06,3.531016e-05,1.9164545e-05
slide_0000__patch_0863285.png,0.9968087,0.00077541196,1.3803378e-05,2.8837052e-05,9.1561495e-05,7.598523e-05,0.0010871901,6.870653e-05,0.00010046065,0.000872029,8.491243e-06,3.9738017e-05,2.909953e-05
slide_0000__patch_0883561.png,0.9980731,0.0007677337,1.1773589e-05,2.088323e-05,6.2764724e-05,4.847183e-05,0.0007989303,2.6383826e-05,6.298328e-05,3.404339e-05,5.3053855e-06,5.3345666e-05,3.432925e-05
slide_0000__patch_0884805.png,0.99905664,0.0006749422,5.4716795e-05,1.7057564e-05,2.353358e-05,1.3176313e-05,3.246033e-05,9.539762e-06,3.6640264e-05,1.7369925e-05,3.5326282e-06,3.598885e-05,2.4308976e-05
slide_0000__patch_0887194.png,0.9989667,0.00074508233,2.1989006e-05,7.7498535e-06,4.014405e-05,1.4566675e-05,3.1336e-05,1.0883447e-05,5.192118e-05,4.6509365e-05,5.9251615e-06,3.497381e-05,2.2127466e-05
slide_0000__patch_0892828.png,0.9989209,0.00081092195,4.455558e-05,1.0232587e-05,3.6518257e-05,9.193888e-06,3.540247e-05,8.732802e-06,3.2240252e-05,3.1082534e-05,3.7527911e-06,3.7348877e-05,1.9111483e-05
slide_0000__patch_0902064.png,0.9991659,0.0005788182,4.053479e-05,9.437352e-06,3.9220133e-05,9.060376e-06,2.794425e-05,7.145876e-06,3.2144348e-05,4.6049656e-05,7.274845e-06,1.9494784e-05,1.7042095e-05
slide_0000__patch_1012573.png,0.99944764,0.00014799599,1.0016274e-05,9.930207e-06,6.0996732e-05,1.2903116e-05,0.0001342287,1.6177746e-05,5.2772666e-05,7.011454e-05,3.976853e-06,1.7993221e-05,1.5285714e-05
slide_0000__patch_1017321.png,0.99895155,0.00065943314,1.2741709e-05,9.754827e-06,5.3336687e-05,1.5670044e-05,0.00011098968,1.8628827e-05,3.960106e-05,6.660216e-05,4.2948286e-06,3.929164e-05,1.798513e-05
slide_0000__patch_1020266.png,0.9959065,0.0035840017,8.6948705e-05,1.2572572e-05,0.00010444407,2.0337162e-05,0.00013883754,1.0757451e-05,2.3985876e-05,3.829516e-05,4.614111e-06,4.2929583e-05,2.5833631e-05
slide_0000__patch_1021735.png,0.97664297,0.00066550873,3.559317e-05,3.413029e-05,0.00011328996,0.000104804865,0.021848097,9.245028e-05,0.00015466173,0.00013919496,7.2547996e-06,0.00012282061,3.9342438e-05
slide_0000__patch_1029487.png,0.99899536,0.00070541835,6.978382e-05,1.1725982e-05,3.0597002e-05,7.2204625e-06,3.6172965e-05,5.6278245e-06,4.348786e-05,2.373673e-05,4.5698507e-06,4.5469347e-05,2.0827649e-05
slide_0017__patch_0036496.png,0.99625176,0.0031524762,0.00028987005,3.9265127e-05,1.2719687e-05,2.1522248e-05,5.7837773e-05,3.4707973e-05,3.9169234e-05,5.752554e-05,1.4133329e-05,1.776135e-05,1.1238688e-05
slide_0017__patch_0037016.png,0.99885833,0.0008825694,4.5884266e-05,1.1186996e-05,2.561933e-05,1.2339787e-05,4.237704e-05,1.41045675e-05,3.1949883e-05,2.9355373e-05,1.6915912e-05,1.6971368e-05,1.2508581e-05
slide_0017__patch_0175075.png,0.99781114,0.0016917028,0.0001023445,1.288587e-05,6.1030576e-05,1.0250777e-05,3.922134e-05,1.6909751e-05,9.185965e-05,4.2886717e-05,7.7090226e-05,1.823287e-05,2.4533252e-05
slide_0017__patch_0266837.png,0.99929285,0.00041914327,3.612061e-05,1.8756682e-05,9.751862e-06,1.5051322e-05,5.1733525e-05,2.4868363e-05,4.2042055e-05,4.808126e-05,6.817506e-06,2.1756618e-05,1.3031972e-05
slide_0017__patch_0306975.png,0.9988599,0.00084446504,8.402007e-05,1.573017e-05,1.2696739e-05,9.544153e-06,4.18836e-05,1.8379755e-05,4.7212456e-05,2.7486123e-05,8.79163e-06,1.7617274e-05,1.2474172e-05
slide_0017__patch_0308439.png,0.9972047,0.0021070284,0.0003125442,4.208789e-05,1.806263e-05,1.3961913e-05,7.6261786e-05,3.2799253e-05,8.217674e-05,3.0504521e-05,4.8720623e-05,1.6868318e-05,1.4328795e-05
slide_0017__patch_0346113.png,0.99757165,0.0019989733,0.0001520719,1.236064e-05,2.3009683e-05,1.1674739e-05,0.00010290562,1.2447978e-05,2.7009784e-05,3.4073826e-05,1.909146e-05,1.983169e-05,1.4852882e-05
slide_0017__patch_0377270.png,0.9991153,0.0005663305,6.3085914e-05,2.1926287e-05,1.4249187e-05,1.2756418e-05,5.042265e-05,2.9497533e-05,4.2698768e-05,4.119527e-05,1.6188043e-05,1.6475728e-05,9.815951e-06
slide_0017__patch_0436408.png,0.99850637,0.0008149894,0.0002646196,4.9256523e-05,1.9857052e-05,9.844495e-06,0.00010127671,3.473269e-05,8.189204e-05,1.9711208e-05,5.572879e-05,2.4742027e-05,1.6893639e-05
slide_0017__patch_0541755.png,0.9983353,0.0012633211,7.439991e-05,2.981375e-05,1.22073325e-05,1.8421575e-05,7.2191295e-05,3.3221095e-05,4.5947967e-05,6.876956e-05,2.2703116e-05,1.3950601e-05,9.744674e-06
slide_0017__patch_0626219.png,0.9984877,0.0011189737,0.00014073362,3.104853e-05,1.1443531e-05,1.7188426e-05,6.176057e-05,2.5475218e-05,3.6450903e-05,3.6901754e-05,8.937833e-06,1.5493908e-05,8.009453e-06
slide_0017__patch_0775142.png,0.9959109,0.0032233447,0.00022897024,2.5871344e-05,3.8940518e-05,1.74239e-05,8.515032e-05,3.3922337e-05,0.00015529321,4.2249456e-05,0.0001714293,3.443995e-05,3.2107506e-05
slide_0017__patch_0942142.png,0.9994204,0.00032892026,2.302034e-05,1.378781e-05,1.980947e-05,1.2212283e-05,4.1373114e-05,1.7948718e-05,4.513392e-05,3.3381955e-05,1.2249586e-05,2.1150536e-05,1.0679174e-05
slide_0017__patch_0969228.png,0.99725986,0.0023350676,0.00014280074,2.2663935e-05,1.7466462e-05,1.667574e-05,3.5405712e-05,1.706553e-05,5.2426705e-05,3.4909026e-05,1.7853234e-05,2.9875424e-05,1.7952088e-05
slide_0024__patch_0005777.png,0.9995372,0.00011093207,1.3955986e-05,5.5359333e-06,5.720028e-05,1.30323115e-05,3.6809088e-05,1.4697702e-05,0.00012135576,3.3539483e-05,1.029908e-05,2.0516438e-05,2.5041985e-05
slide_0024__patch_0047419.png,0.9995189,0.00018332053,4.1940144e-05,5.1788843e-06,4.5084293e-05,1.4487271e-05,5.873722e-05,1.2349479e-05,3.75854e-05,2.2894174e-05,1.3715566e-05,1.7495195e-05,2.8424953e-05
slide_0024__patch_0050281.png,0.9991002,9.867184e-05,8.2200975e-05,1.4505142e-05,5.635658e-05,1.6525992e-05,0.00047414453,2.4394896e-05,5.8356407e-05,1.765051e-05,1.0515735e-05,1.7292848e-05,2.9225397e-05
slide_0024__patch_0051412.png,0.99927217,0.000113409056,0.00010396138,1.5381347e-05,5.5925986e-05,1.6309712e-05,0.0002622387,2.3975646e-05,5.7674417e-05,2.97697e-05,1.6920694e-05,7.991092e-06,2.4399795e-05
slide_0024__patch_0064761.png,0.9995074,0.00014177956,2.9127987e-05,5.081986e-06,8.793702e-05,1.2656609e-05,3.111832e-05,1.0370503e-05,8.7732464e-05,1.9493602e-05,1.0109734e-05,2.1433067e-05,3.589497e-05
slide_0024__patch_0071346.png,0.9992704,0.00040520707,2.4751065e-05,6.1482137e-06,3.8707374e-05,1.3620118e-05,5.2684518e-05,1.42680165e-05,5.0762887e-05,7.232283e-05,1.294611e-05,9.76904e-06,2.8454575e-05
slide_0024__patch_0099058.png,0.99921644,0.00024282823,0.00012206339,1.2131768e-05,4.1628355e-05,9.1748825e-06,0.00022424766,1.9490064e-05,2.3410079e-05,5.6160217e-05,5.344256e-06,1.4510718e-05,1.2598716e-05
slide_0024__patch_0119781.png,0.99953485,0.000103978186,2.860494e-05,4.0512246e-06,8.051703e-05,1.3618486e-05,4.20267e-05,1.4652504e-05,7.892739e-05,3.7550562e-05,7.545283e-06,1.779994e-05,3.5988774e-05
slide_0024__patch_0122017.png,0.9994797,0.00016767801,6.158772e-05,6.4541555e-06,3.492556e-05,1.1336149e-05,7.724639e-05,1.6051858e-05,5.218793e-05,5.129956e-05,8.239984e-06,8.144909e-06,2.5293393e-05
slide_0024__patch_0126138.png,0.99949706,0.00017897766,1.9413586e-05,3.865758e-06,7.005384e-05,1.2072094e-05,3.39472e-05,1.1488751e-05,7.191065e-05,2.6457728e-05,6.864428e-06,2.6130814e-05,4.168069e-05
slide_0024__patch_0190268.png,0.9994708,6.4626816e-05,2.4579942e-05,9.746605e-06,5.2426156e-05,1.3003886e-05,0.00013350768,1.5755377e-05,0.00010108336,1.6728607e-05,7.4718128e-06,3.4381323e-05,5.5828805e-05
slide_0024__patch_0224912.png,0.9993518,8.6817236e-05,3.733813e-05,1.0101471e-05,6.66514e-05,1.6861328e-05,0.0002009158,2.0852078e-05,0.00012974326,2.010867e-05,1.0177038e-05,1.0425038e-05,3.8276292e-05
